cik,company_name,form_type,date_filed,file_path,year,quarter
0000013156,"Galaxy Gaming, Inc.",10-K/A,2021-04-01,edgar/data/13156/0001140361-21-011123.txt,2021,QTR2
0001317839,Umatrin Holding Ltd,10-K,2021-04-15,edgar/data/1317839/0001477932-21-002347.txt,2021,QTR2
0001318605,"Tesla, Inc.",10-K/A,2021-04-30,edgar/data/1318605/0001564590-21-022604.txt,2021,QTR2
0001325702,MAGNACHIP SEMICONDUCTOR Corp,10-K/A,2021-04-30,edgar/data/1325702/0001193125-21-144992.txt,2021,QTR2
0001329606,"Clean Energy Technologies, Inc.",10-K,2021-04-15,edgar/data/1329606/0001493152-21-008856.txt,2021,QTR2
0001338929,"Global Fiber Technologies, Inc.",10-K,2021-04-21,edgar/data/1338929/0001477932-21-002576.txt,2021,QTR2
0001341766,"Celsius Holdings, Inc.",10-K/A,2021-05-13,edgar/data/1341766/0001829126-21-003803.txt,2021,QTR2
0001347652,"CorEnergy Infrastructure Trust, Inc.",10-K/A,2021-04-30,edgar/data/1347652/0001347652-21-000030.txt,2021,QTR2
0001350073,"Iconic Brands, Inc.",10-K,2021-04-13,edgar/data/1350073/0001477932-21-002220.txt,2021,QTR2
0001351288,GW PHARMACEUTICALS PLC,10-K/A,2021-04-30,edgar/data/1351288/0001193125-21-145438.txt,2021,QTR2
0001351573,"Pure Harvest Corporate Group, Inc.",10-K,2021-04-20,edgar/data/1351573/0001493152-21-009177.txt,2021,QTR2
0001351901,Commonwealth Income & Growth Fund VI,10-K,2021-04-19,edgar/data/1351901/0001654954-21-004299.txt,2021,QTR2
0001353538,NEWTOWN LANE MARKETING INC,10-K,2021-06-28,edgar/data/1353538/0001213900-21-034501.txt,2021,QTR2
0001356949,Houston Wire & Cable CO,10-K/A,2021-04-28,edgar/data/1356949/0001753926-21-000114.txt,2021,QTR2
0001358654,"RED METAL RESOURCES, LTD.",10-K,2021-05-03,edgar/data/1358654/0001493152-21-010346.txt,2021,QTR2
0001360442,"Cannabis Sativa, Inc.",10-K,2021-04-16,edgar/data/1360442/0001096906-21-000807.txt,2021,QTR2
0001363829,Enstar Group LTD,10-K/A,2021-06-30,edgar/data/1363829/0001363829-21-000121.txt,2021,QTR2
0001365038,LEAF GROUP LTD.,10-K/A,2021-04-30,edgar/data/1365038/0001558370-21-005335.txt,2021,QTR2
0001368265,Clean Energy Fuels Corp.,10-K/A,2021-04-29,edgar/data/1368265/0001104659-21-057666.txt,2021,QTR2
0001368365,"REMARK HOLDINGS, INC.",10-K/A,2021-04-30,edgar/data/1368365/0001368365-21-000024.txt,2021,QTR2
0001369568,"CATALYST PHARMACEUTICALS, INC.",10-K/A,2021-04-30,edgar/data/1369568/0001193125-21-145243.txt,2021,QTR2
0001372612,BOX INC,10-K/A,2021-05-28,edgar/data/1372612/0001193125-21-177230.txt,2021,QTR2
0001376231,"VPR Brands, LP.",10-K,2021-04-15,edgar/data/1376231/0000891092-21-003500.txt,2021,QTR2
0001376804,"VNUE, Inc.",10-K,2021-04-08,edgar/data/1376804/0001477932-21-002126.txt,2021,QTR2
0001382574,"TRxADE HEALTH, INC",10-K/A,2021-06-10,edgar/data/1382574/0001493152-21-014035.txt,2021,QTR2
0001395937,Syndax Pharmaceuticals Inc,10-K/A,2021-04-30,edgar/data/1395937/0001564590-21-022519.txt,2021,QTR2
0001396730,First National Master Note Trust,10-K/A,2021-04-12,edgar/data/1396730/0001104659-21-049277.txt,2021,QTR2
0001399352,"COOL TECHNOLOGIES, INC.",10-K,2021-04-15,edgar/data/1399352/0001477932-21-002386.txt,2021,QTR2
0001401040,DiaMedica Therapeutics Inc.,10-K/A,2021-04-29,edgar/data/1401040/0001437749-21-010229.txt,2021,QTR2
0001403475,Bank of Marin Bancorp,10-K/A,2021-05-17,edgar/data/1403475/0001403475-21-000044.txt,2021,QTR2
